event,peak_date,origin_date,representation,seed,lead_months,observed_peak,predicted_peak,error,absolute_error
3,2020-01-01,2019-10-01,Raw,42,3,0.84,0.499932527668037,-0.340067472331963,0.340067472331963
3,2020-01-01,2019-10-01,Raw,52,3,0.84,0.6434461991422418,-0.1965538008577582,0.1965538008577582
3,2020-01-01,2019-10-01,Raw,62,3,0.84,0.6914205136665476,-0.14857948633345242,0.14857948633345242
3,2020-01-01,2019-10-01,EMD-only,42,3,0.84,1.2296684481313727,0.3896684481313727,0.3896684481313727
3,2020-01-01,2019-10-01,EMD-only,52,3,0.84,1.3902252789864746,0.5502252789864747,0.5502252789864747
3,2020-01-01,2019-10-01,EMD-only,62,3,0.84,1.1413638300022328,0.3013638300022329,0.3013638300022329
3,2020-01-01,2019-10-01,Full HHSA,42,3,0.84,0.6930794240640927,-0.14692057593590724,0.14692057593590724
3,2020-01-01,2019-10-01,Full HHSA,52,3,0.84,0.17910369129419645,-0.6608963087058035,0.6608963087058035
3,2020-01-01,2019-10-01,Full HHSA,62,3,0.84,0.7726303517632892,-0.06736964823671077,0.06736964823671077
3,2020-01-01,2019-07-01,Raw,42,6,0.84,-0.12873894877379854,-0.9687389487737985,0.9687389487737985
3,2020-01-01,2019-07-01,Raw,52,6,0.84,-0.07399190616227022,-0.9139919061622702,0.9139919061622702
3,2020-01-01,2019-07-01,Raw,62,6,0.84,0.661234875063199,-0.17876512493680097,0.17876512493680097
3,2020-01-01,2019-07-01,EMD-only,42,6,0.84,1.5358068868145076,0.6958068868145076,0.6958068868145076
3,2020-01-01,2019-07-01,EMD-only,52,6,0.84,0.6786214054278541,-0.16137859457214587,0.16137859457214587
3,2020-01-01,2019-07-01,EMD-only,62,6,0.84,1.2696882641146647,0.42968826411466476,0.42968826411466476
3,2020-01-01,2019-07-01,Full HHSA,42,6,0.84,-0.02600228505166996,-0.86600228505167,0.86600228505167
3,2020-01-01,2019-07-01,Full HHSA,52,6,0.84,-0.4332495841443401,-1.27324958414434,1.27324958414434
3,2020-01-01,2019-07-01,Full HHSA,62,6,0.84,0.1986909407228716,-0.6413090592771283,0.6413090592771283
3,2020-01-01,2019-04-01,Raw,42,9,0.84,0.17538821812263078,-0.6646117818773691,0.6646117818773691
3,2020-01-01,2019-04-01,Raw,52,9,0.84,-0.7658038806528613,-1.6058038806528612,1.6058038806528612
3,2020-01-01,2019-04-01,Raw,62,9,0.84,0.020635846176034672,-0.8193641538239653,0.8193641538239653
3,2020-01-01,2019-04-01,EMD-only,42,9,0.84,0.5150452877684807,-0.3249547122315193,0.3249547122315193
3,2020-01-01,2019-04-01,EMD-only,52,9,0.84,1.286267935043316,0.44626793504331597,0.44626793504331597
3,2020-01-01,2019-04-01,EMD-only,62,9,0.84,0.759465369611924,-0.08053463038807596,0.08053463038807596
3,2020-01-01,2019-04-01,Full HHSA,42,9,0.84,0.20288026803586123,-0.6371197319641387,0.6371197319641387
3,2020-01-01,2019-04-01,Full HHSA,52,9,0.84,-0.7279188277027099,-1.5679188277027098,1.5679188277027098
3,2020-01-01,2019-04-01,Full HHSA,62,9,0.84,0.20620411395518656,-0.6337958860448134,0.6337958860448134
4,2023-11-01,2023-08-01,Raw,42,3,1.86,1.1616385778980332,-0.6983614221019669,0.6983614221019669
4,2023-11-01,2023-08-01,Raw,52,3,1.86,1.464979112642782,-0.3950208873572181,0.3950208873572181
4,2023-11-01,2023-08-01,Raw,62,3,1.86,1.4966334718109302,-0.3633665281890699,0.3633665281890699
4,2023-11-01,2023-08-01,EMD-only,42,3,1.86,0.2998785801928172,-1.5601214198071829,1.5601214198071829
4,2023-11-01,2023-08-01,EMD-only,52,3,1.86,0.6364056767196062,-1.2235943232803939,1.2235943232803939
4,2023-11-01,2023-08-01,EMD-only,62,3,1.86,1.0919124524425385,-0.7680875475574616,0.7680875475574616
4,2023-11-01,2023-08-01,Full HHSA,42,3,1.86,0.7933379154321598,-1.0666620845678403,1.0666620845678403
4,2023-11-01,2023-08-01,Full HHSA,52,3,1.86,0.9765323631080519,-0.8834676368919482,0.8834676368919482
4,2023-11-01,2023-08-01,Full HHSA,62,3,1.86,0.45105680817624505,-1.408943191823755,1.408943191823755
4,2023-11-01,2023-05-01,Raw,42,6,1.86,0.5521503680848339,-1.3078496319151662,1.3078496319151662
4,2023-11-01,2023-05-01,Raw,52,6,1.86,0.8540119218516077,-1.0059880781483925,1.0059880781483925
4,2023-11-01,2023-05-01,Raw,62,6,1.86,0.6776706910344392,-1.1823293089655609,1.1823293089655609
4,2023-11-01,2023-05-01,EMD-only,42,6,1.86,0.29558088961794293,-1.5644191103820573,1.5644191103820573
4,2023-11-01,2023-05-01,EMD-only,52,6,1.86,-0.22473625538437156,-2.084736255384372,2.084736255384372
4,2023-11-01,2023-05-01,EMD-only,62,6,1.86,-0.06343623240110495,-1.923436232401105,1.923436232401105
4,2023-11-01,2023-05-01,Full HHSA,42,6,1.86,0.7308104633513958,-1.1291895366486044,1.1291895366486044
4,2023-11-01,2023-05-01,Full HHSA,52,6,1.86,0.7974930515236871,-1.062506948476313,1.062506948476313
4,2023-11-01,2023-05-01,Full HHSA,62,6,1.86,0.7251717794747367,-1.1348282205252636,1.1348282205252636
4,2023-11-01,2023-02-01,Raw,42,9,1.86,0.30538313476300016,-1.554616865237,1.554616865237
4,2023-11-01,2023-02-01,Raw,52,9,1.86,0.4002698338550721,-1.459730166144928,1.459730166144928
4,2023-11-01,2023-02-01,Raw,62,9,1.86,-0.4529904166301424,-2.3129904166301425,2.3129904166301425
4,2023-11-01,2023-02-01,EMD-only,42,9,1.86,0.20503390804777386,-1.6549660919522262,1.6549660919522262
4,2023-11-01,2023-02-01,EMD-only,52,9,1.86,0.513653839362275,-1.346346160637725,1.346346160637725
4,2023-11-01,2023-02-01,EMD-only,62,9,1.86,0.2932511401407347,-1.5667488598592654,1.5667488598592654
4,2023-11-01,2023-02-01,Full HHSA,42,9,1.86,0.32924094122309977,-1.5307590587769004,1.5307590587769004
4,2023-11-01,2023-02-01,Full HHSA,52,9,1.86,0.015894294315071056,-1.844105705684929,1.844105705684929
4,2023-11-01,2023-02-01,Full HHSA,62,9,1.86,0.4677020900780062,-1.3922979099219939,1.3922979099219939
