date,lead_months,method,forecast_mean,forecast_min_seed,forecast_max_seed,forecast_std_seed
2028-12-01 00:00:00,29,Raw,-0.47839549386104985,-0.7688166443551787,-0.14461919573136162,0.20044849820543842
2026-08-01 00:00:00,1,EMD-only,1.072687102910109,0.7083275334528325,1.590199078451898,0.37054252106984714
2026-09-01 00:00:00,2,EMD-only,1.0387431251626296,0.5759321116561101,1.5670710320035075,0.3823020316479677
2026-10-01 00:00:00,3,EMD-only,0.917662282879854,0.4705297886750083,1.2458339955311728,0.28089831681124
2026-11-01 00:00:00,4,EMD-only,0.832909488508788,0.47607328169708835,1.136295807271978,0.28564787425406574
2026-12-01 00:00:00,5,EMD-only,0.5883557679767899,0.09875970752428448,1.122764878539447,0.3613943968399645
2027-01-01 00:00:00,6,EMD-only,0.34038800651262485,0.12384511820164171,0.7480640206747986,0.2143075061081792
2027-02-01 00:00:00,7,EMD-only,0.15312145261346527,0.007798520763257211,0.5669292864640348,0.21251322146453305
2027-03-01 00:00:00,8,EMD-only,0.16141120758056154,0.012858880828567426,0.5274870139996738,0.1892955122654292
2027-04-01 00:00:00,9,EMD-only,-0.09033425003141252,-0.3207352387854102,0.223763362483148,0.21377604260505628
2027-05-01 00:00:00,10,EMD-only,-0.0654532415309716,-0.2363606619311041,0.17901742129381998,0.15474777013714733
2027-06-01 00:00:00,11,EMD-only,-0.10161971187213288,-0.48450121569388904,0.2195383511439659,0.2779451140430744
2027-07-01 00:00:00,12,EMD-only,-0.10553565218469581,-0.5828553323296408,0.1983303805736275,0.30318675245227056
2027-08-01 00:00:00,13,EMD-only,-0.15402367264547387,-0.42989780928263327,0.08014635572701398,0.192949929834047
2027-09-01 00:00:00,14,EMD-only,0.030029545066941422,-0.43343943519938966,0.4187277005060601,0.27135953266557855
2027-10-01 00:00:00,15,EMD-only,0.09207244335216203,-0.5786445773555791,0.5186582538261553,0.379830112413965
2027-11-01 00:00:00,16,EMD-only,0.13840619421701614,-0.2954786443120929,0.6038854112281431,0.30575595190012034
2027-12-01 00:00:00,17,EMD-only,0.3127997871739219,-0.042528485329957746,0.8103909237221264,0.31200874088197444
2028-01-01 00:00:00,18,EMD-only,0.49213520805629657,0.028072902813088857,1.0379499923674405,0.33034378885759075
2028-02-01 00:00:00,19,EMD-only,0.6842733398658808,0.36454736008324057,0.9729362022658303,0.24252723268224965
